X[m],Y[m],Z[m]
6.97634295e-02,-1.52618308e-02,2.95074633e-03
6.97634295e-02,-1.52618308e-02,-2.95074633e-03
6.52779415e-02,-1.51848244e-02,-2.95074633e-03
6.52779415e-02,-1.51848244e-02,2.95074633e-03
6.30355254e-02,-1.51302535e-02,-2.95074633e-03
6.30355254e-02,-1.51302535e-02,2.95074633e-03
3.39529812e-02,-1.31521411e-02,-2.95074633e-03
3.39529812e-02,-1.31521411e-02,2.95074633e-03
3.61812785e-02,-1.34094944e-02,2.95074633e-03
3.61812785e-02,-1.34094944e-02,-2.95074633e-03
3.17275263e-02,-1.28714163e-02,-2.95074633e-03
3.17275263e-02,-1.28714163e-02,2.95074633e-03
2.95055173e-02,-1.25651816e-02,-2.95074633e-03
2.95055173e-02,-1.25651816e-02,2.95074633e-03
7.20064268e-02,1.52850021e-02,-2.95074633e-03
7.20064268e-02,1.52850021e-02,2.95074633e-03
7.42494389e-02,1.52986115e-02,-2.95074633e-03
7.42494389e-02,1.52986115e-02,2.95074633e-03
7.64925033e-02,1.53029021e-02,-2.95074633e-03
7.64925033e-02,1.53029021e-02,2.95074633e-03
2.50745583e-02,1.18680457e-02,-2.95074633e-03
2.50745583e-02,1.18680457e-02,2.95074633e-03
2.28666086e-02,1.14722606e-02,2.95074633e-03
2.28666086e-02,1.14722606e-02,-2.95074633e-03
2.72881240e-02,1.22309001e-02,-2.95074633e-03
2.72881240e-02,1.22309001e-02,2.95074633e-03
2.95060501e-02,1.25644989e-02,-2.95074633e-03
2.95060501e-02,1.25644989e-02,2.95074633e-03
1.84737742e-02,1.05631119e-02,-2.95074633e-03
1.84737742e-02,1.05631119e-02,2.95074633e-03
1.62925944e-02,1.00404471e-02,2.95074633e-03
1.62925944e-02,1.00404471e-02,-2.95074633e-03
2.06656810e-02,1.10388240e-02,-2.95074633e-03
2.06656810e-02,1.10388240e-02,2.95074633e-03
7.20063746e-02,-1.52850682e-02,-2.95074633e-03
7.20063746e-02,-1.52850682e-02,2.95074633e-03
7.42494389e-02,-1.52986329e-02,2.95074633e-03
7.42494389e-02,-1.52986329e-02,-2.95074633e-03
7.64925033e-02,-1.53029021e-02,2.95074633e-03
7.64925033e-02,-1.53029021e-02,-2.95074633e-03
5.18299080e-02,1.46764405e-02,-2.95074633e-03
5.18299080e-02,1.46764405e-02,2.95074633e-03
4.95906956e-02,1.45452386e-02,2.95074633e-03
4.95906956e-02,1.45452386e-02,-2.95074633e-03
5.40699139e-02,1.47932973e-02,-2.95074633e-03
5.40699139e-02,1.47932973e-02,2.95074633e-03
5.63106015e-02,1.48964943e-02,-2.95074633e-03
5.63106015e-02,1.48964943e-02,2.95074633e-03
4.06445824e-02,-1.38612846e-02,-2.95074633e-03
4.06445824e-02,-1.38612846e-02,2.95074633e-03
4.28789929e-02,-1.40581178e-02,2.95074633e-03
4.28789929e-02,-1.40581178e-02,-2.95074633e-03
3.84119302e-02,-1.36454478e-02,-2.95074633e-03
3.84119302e-02,-1.36454478e-02,2.95074633e-03
2.00003386e-03,3.87150352e-03,-2.95074633e-03
2.00003386e-03,3.87150352e-03,2.95074633e-03
1.22608733e-03,3.06244218e-03,2.95074633e-03
1.22608733e-03,3.06244218e-03,-2.95074633e-03
2.86485581e-03,4.58812900e-03,-2.95074633e-03
2.86485581e-03,4.58812900e-03,2.95074633e-03
3.78138106e-03,5.23232017e-03,-2.95074633e-03
3.78138106e-03,5.23232017e-03,2.95074633e-03
1.08352236e-01,3.66889383e-03,-2.95074633e-03
1.08352236e-01,3.66889383e-03,2.95074633e-03
1.06361002e-01,3.91794136e-03,2.95074633e-03
1.06361002e-01,3.91794136e-03,-2.95074633e-03
1.10343464e-01,3.41984630e-03,-2.95074633e-03
1.10343464e-01,3.41984630e-03,2.95074633e-03
1.12334698e-01,3.17079900e-03,-2.95074633e-03
1.12334698e-01,3.17079900e-03,2.95074633e-03
1.41241429e-02,-9.46476962e-03,-2.95074633e-03
1.41241429e-02,-9.46476962e-03,2.95074633e-03
1.19749382e-02,-8.82348139e-03,-2.95074633e-03
1.19749382e-02,-8.82348139e-03,2.95074633e-03
9.84990224e-03,-8.10542516e-03,-2.95074633e-03
9.84990224e-03,-8.10542516e-03,2.95074633e-03
1.18308403e-01,-8.07885546e-04,-2.95074633e-03
1.18308403e-01,-2.42365664e-03,-2.95074633e-03
1.18308403e-01,-2.42365664e-03,2.95074633e-03
1.18308403e-01,-8.07885546e-04,2.95074633e-03
1.18308403e-01,8.07885546e-04,2.95074633e-03
1.18308403e-01,8.07885546e-04,-2.95074633e-03
1.18308403e-01,2.42365664e-03,2.95074633e-03
1.18308403e-01,2.42365664e-03,-2.95074633e-03
6.07934184e-02,-1.50643270e-02,-2.95074633e-03
6.07934184e-02,-1.50643270e-02,2.95074633e-03
5.85516952e-02,-1.49865374e-02,-2.95074633e-03
5.85516952e-02,-1.49865374e-02,2.95074633e-03
4.73521277e-02,-1.43992230e-02,-2.95074633e-03
4.73521277e-02,-1.43992230e-02,2.95074633e-03
4.51149195e-02,-1.42370658e-02,-2.95074633e-03
4.51149195e-02,-1.42370658e-02,2.95074633e-03
7.64925033e-02,1.27531523e-02,-2.95074633e-03
7.64925033e-02,1.27531523e-02,2.95074633e-03
7.64925033e-02,1.40280277e-02,2.95074633e-03
7.64925033e-02,1.40280277e-02,-2.95074633e-03
8.44574347e-02,6.65746303e-03,-2.95074633e-03
8.44574347e-02,6.65746303e-03,2.95074633e-03
8.64486694e-02,6.40841527e-03,-2.95074633e-03
8.64486694e-02,6.40841527e-03,2.95074633e-03
8.84398967e-02,6.15936797e-03,-2.95074633e-03
8.84398967e-02,6.15936797e-03,2.95074633e-03
1.14325933e-01,-2.92175147e-03,-2.95074633e-03
1.12334698e-01,-3.17079900e-03,-2.95074633e-03
1.12334698e-01,-3.17079900e-03,2.95074633e-03
1.14325933e-01,-2.92175147e-03,2.95074633e-03
1.16317168e-01,-2.67270394e-03,2.95074633e-03
1.16317168e-01,-2.67270394e-03,-2.95074633e-03
1.14325933e-01,2.92175147e-03,-2.95074633e-03
1.14325933e-01,2.92175147e-03,2.95074633e-03
1.16317168e-01,2.67270394e-03,-2.95074633e-03
1.16317168e-01,2.67270394e-03,2.95074633e-03
9.64048356e-02,5.16317831e-03,-2.95074633e-03
9.64048356e-02,5.16317831e-03,2.95074633e-03
9.44136009e-02,5.41222561e-03,2.95074633e-03
9.44136009e-02,5.41222561e-03,-2.95074633e-03
9.83960703e-02,4.91413102e-03,-2.95074633e-03
